Brand,Style,Country,Stars,Top Ten
KOKA,Pack,Singapore,4.25,0
KOKA,Bowl,Singapore,5.0,0
KOKA,Cup,Singapore,3.75,0
Nissin,Cup,Mexico,3.5,0
MyKuali,Box,Japan,5.0,0
Master Kong,Pack,China,4.5,0
Uni-President,Bowl,Taiwan,5.0,0
World O' Noodle,Pack,Indonesia,5.0,0
Nissin,Bowl,Japan,4.5,0
Kang Shi Fu,Pack,Hong Kong,4.75,0
Mum Ngon,Pack,Vietnam,3.5,0
Happy Cook,Pack,Taiwan,4.25,0
Nissin,Cup,Japan,3.75,0
Fashion Food,Bowl,Thailand,3.5,0
Dream Kitchen,Bowl,USA,3.75,0
MyKuali,Pack,Malaysia,5.0,0
New Touch,Cup,Japan,4.0,0
TTL,Bowl,Taiwan,5.0,0
Ajinatori,Pack,Japan,2.5,0
Dr. McDougall's,Cup,USA,0.0,0
Nissin,Cup,Hong Kong,5.0,0
Samyang Foods,Pack,South Korea,3.75,0
Ve Wong,Pack,Taiwan,3.5,0
Nissin,Cup,Mexico,3.25,0
Uni-President,Pack,Taiwan,5.0,0
Nissin,Cup,China,3.75,0
MyKuali,Box,Japan,5.0,0
Myojo,Tray,Japan,4.5,0
Super Bihun,Pack,Indonesia,3.75,0
Xiuhe,Bowl,China,4.25,0
Nissin,Bowl,Japan,5.0,0
Little Cook,Bowl,Taiwan,5.0,0
Nissin,Cup,Hong Kong,2.5,0
Shirakiku,Pack,USA,3.25,0
Mama Pat's,Pack,USA,3.75,0
Mama Pat's,Pack,USA,3.75,0
Mama Pat's,Pack,USA,3.5,0
Mama Pat's,Pack,USA,3.75,0
Just Way,Pack,Taiwan,4.5,0
Sichuan Guangyou,Pack,China,0.25,0
Nissin,Cup,Hong Kong,4.0,0
MyKuali,Pack,Singapore,5.0,0
Goku-Uma,Bowl,USA,4.75,0
Maggi,Pack,India,3.75,0
Sichuan Baijia,Bowl,China,5.0,0
Nissin,Cup,Singapore,5.0,0
Indomie,Pack,Indonesia,4.0,0
Liang Cheng Mai,Tray,China,1.0,0
Samyang Foods,Bowl,South Korea,4.0,0
Maggi,Pack,Fiji,3.25,0
Master Kong,Pack,China,4.25,0
Nissin,Cup,Hong Kong,3.75,0
Ripe'n'Dry,Pack,Japan,3.0,0
MyKuali,Bowl,Malaysia,5.0,0
Ottogi,Pack,South Korea,5.0,0
Nissin,Cup,Hong Kong,3.75,0
Gefen,Cup,USA,4.0,0
Hua Feng,Pack,China,4.25,0
Nissin,Bowl,Hong Kong,3.5,0
Maggi,Pack,Fiji,4.0,0
Uni-President,Bowl,Taiwan,4.75,0
Sichuan Guangyou,Pack,China,4.25,0
Nissin,Cup,USA,3.5,0
Nongshim,Cup,South Korea,0.5,0
Nissin,Cup,Hong Kong,4.75,0
Pulmuone,Pack,South Korea,3.75,0
Nissin,Cup,USA,2.5,0
Sau Tao,Pack,Hong Kong,4.5,0
MyKuali,Box,Malaysia,5.0,0
Nissin,Cup,Thailand,3.25,0
Uni-President,Bowl,Taiwan,5.0,0
World O' Noodle,Pack,Indonesia,4.5,0
Nissin,Pack,India,4.5,0
Liu Quan,Bowl,China,4.0,0
Daikoku,Cup,Japan,3.5,0
Samyang Foods,Pack,South Korea,4.5,0
Samyang Foods,Pack,South Korea,4.25,0
Samyang Foods,Pack,South Korea,3.75,0
Samyang Foods,Pack,South Korea,4.0,0
Samyang Foods,Pack,South Korea,5.0,0
Samyang Foods,Pack,South Korea,5.0,0
Samyang Foods,Pack,South Korea,4.0,0
Samyang Foods,Pack,South Korea,4.0,0
Chuan Wei Wang,Bowl,China,4.0,0
Nissin,Bowl,Hong Kong,5.0,0
Wai Wai,Pack,India,2.0,0
Daikoku,Cup,Japan,2.0,0
Sichuan Baijia,Bowl,China,4.0,0
Kamfen,Bowl,Hong Kong,5.0,0
Nongshim,Cup,South Korea,4.0,0
Marutai,Pack,Japan,4.0,0
Vifon,Bowl,Vietnam,5.0,0
Nissin,Cup,Japan,4.0,0
Uni-President,Pack,Taiwan,1.0,0
1 To 3 Noodles,Pack,India,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Fantastic,Cup,Australia,3.0,0
Ripe'n'Dry,Pack,Japan,3.0,0
Nissin,Bowl,Hong Kong,3.0,0
Knorr,Pack,Pakistan,1.0,0
Sempio,Pack,South Korea,5.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Pack,Mexico,4.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Cup,Mexico,3.0,0
Nissin,Pack,Mexico,4.0,0
Nissin,Cup,Mexico,3.0,0
Nissin,Cup,Mexico,3.0,0
Nissin,Cup,Mexico,5.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Cup,Mexico,4.0,0
Nissin,Pack,Mexico,4.0,0
Nissin,Cup,Mexico,4.0,0
Ve Wong,Pack,Taiwan,4.0,0
Patanjali,Pack,India,5.0,0
Qin Zong,Pack,China,3.0,0
Nissin,Cup,USA,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Pran,Pack,Bangladesh,4.0,0
Paldo,Pack,South Korea,5.0,0
Ogasawara,Pack,Japan,5.0,0
Sapporo Ichiban,Bowl,Japan,3.0,0
Sau Tao,Bowl,Hong Kong,5.0,0
Nissin,Cup,Japan,4.0,0
Nongshim,Bowl,South Korea,3.5,0
Happy Cook,Pack,Taiwan,5.0,0
MAMA,Bowl,Thailand,4.0,0
Nissin,Cup,Japan,5.0,0
Goku-Uma,Bowl,USA,3.0,0
Nissin,Cup,Hong Kong,4.0,0
Xiao Ban Mian,Pack,Taiwan,3.5,0
Xiao Ban Mian,Pack,Taiwan,5.0,0
Xiao Ban Mian,Pack,Taiwan,3.8,0
Pran,Pack,Bangladesh,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Fantastic,Cup,Australia,4.0,0
Ottogi,Pack,Mexico,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Ajinatori,Pack,Japan,4.0,0
Maggi,Pack,India,5.0,0
Maruchan,Pack,Mexico,3.0,0
Nissin,Tray,Japan,5.0,0
Suimin,Cup,Australia,3.0,0
Nissin,Pack,Hong Kong,4.0,0
Cintan,Pack,Malaysia,3.0,0
Nissin,Cup,USA,4.0,0
Chuan Wei Wang,Bowl,China,3.0,0
Suimin,Cup,Australia,3.0,0
Nissin,Cup,China,4.0,0
Sapporo Ichiban,Bowl,Japan,4.0,0
Nissin,Pack,Hong Kong,5.0,0
Sichuan Baijia,Pack,China,5.0,0
Samyang Foods,Pack,South Korea,4.0,0
Nissin,Pack,Hong Kong,5.0,0
Myojo,Bowl,Japan,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Master Kong,Pack,China,0.0,0
Kamfen,Bowl,Hong Kong,4.0,0
Fantastic,Cup,Australia,3.0,0
Nissin,Cup,Hong Kong,4.0,0
Nissin,Pack,Japan,5.0,0
Samyang Foods,Pack,South Korea,5.0,0
Nissin,Cup,Hong Kong,4.0,0
Sichuan Baijia,Pack,China,4.0,0
Nissin,Bowl,Hong Kong,5.0,0
Nissin,Pack,Japan,5.0,0
Goku-Uma,Bowl,USA,3.0,0
Nissin,Cup,USA,3.0,0
JML,Pack,China,4.0,0
Suimin,Cup,Australia,4.0,0
Uni-President,Bowl,Taiwan,4.0,0
Nissin,Bowl,Hong Kong,4.0,0
Sichuan Baijia,Pack,China,5.0,0
Samyang Foods,Pack,South Korea,4.0,0
Wai Wai,Pack,India,4.0,0
Nissin,Pack,Hong Kong,5.0,0
Shirakiku,Pack,USA,2.0,0
Nissin,Cup,Thailand,4.0,0
Nissin,Cup,Japan,3.0,0
Unif Tung-I,Pack,Taiwan,1.0,0
Sichuan Baijia,Pack,China,4.0,0
Dream Kitchen,Cup,USA,5.0,0
Tablemark,Bowl,Japan,4.0,0
Uni-President,Pack,Taiwan,5.0,0
Farmer's Heart,Bowl,USA,3.75,0
Kamfen,Bowl,Hong Kong,4.3,0
Fuku,Pack,Hong Kong,2.3,0
Goku-Uma,Bowl,USA,3.0,0
Daikoku,Tray,Japan,5.0,0
Nissin,Cup,Thailand,3.0,0
Singa-Me,Cup,Australia,4.0,0
New Touch,Bowl,Japan,5.0,0
Ottogi,Pack,Mexico,4.0,0
Nissin,Pack,Hong Kong,4.0,0
Love Cook,Pack,Taiwan,4.0,0
Nongshim,Cup,USA,5.0,0
Nissin,Bowl,Japan,5.0,0
Dream Kitchen,Cup,USA,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Kang Shi Fu,Pack,Hong Kong,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Great Value,Cup,Canada,3.0,0
Fuku,Pack,Hong Kong,4.0,0
Wang,Bowl,South Korea,3.0,0
Nissin,Cup,USA,4.0,0
Asian Thai Foods,Pack,Nepal,1.0,0
Nissin,Cup,Japan,5.0,0
Maruchan,Bowl,Japan,4.0,0
Fashion Food,Bowl,Thailand,4.0,0
Paldo,Bowl,South Korea,5.0,0
Nissin,Cup,Hong Kong,4.0,0
Nissin,Bowl,Japan,5.0,0
Fantastic,Cup,Australia,4.0,0
Marutai,Pack,Japan,4.0,0
Kang Shi Fu,Pack,Hong Kong,4.0,0
Nissin,Bowl,Japan,5.0,0
Maruchan,Pack,USA,4.0,0
Nagatanien,Pack,Japan,3.0,0
Fuku,Bowl,Hong Kong,4.0,0
Wai Wai,Pack,India,4.0,0
KOKA,Pack,Singapore,4.0,0
Nyor Nyar,Pack,Malaysia,5.0,0
Nissin,Cup,Japan,5.0,0
Paldo,Pack,South Korea,5.0,0
Fantastic,Cup,Australia,1.0,0
Tseng Noodles,Pack,Taiwan,4.0,0
Nissin,Pack,Hong Kong,5.0,0
A-Sha Dry Noodle,Tray,Taiwan,3.0,0
Myojo,Pack,Singapore,5.0,0
Sapporo Ichiban,Bowl,Japan,4.0,0
Acecook,Pack,Vietnam,4.0,0
Paldo,Pack,South Korea,4.0,0
Nissin,Cup,Thailand,3.0,0
Morre,Pack,Pakistan,4.0,0
Nissin,Pack,Hong Kong,5.0,0
Roland,Pack,USA,0.0,0
Nissin,Cup,Hong Kong,3.0,0
Nissin,Bowl,Japan,5.0,0
Maruchan,Bowl,USA,4.0,0
Nissin,Cup,Brazil,4.0,0
Nongshim,Bowl,USA,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Mr. Lee's Noodles,Cup,UK,2.0,0
Mr. Lee's Noodles,Cup,UK,5.0,0
Mr. Lee's Noodles,Cup,UK,3.0,0
Mr. Lee's Noodles,Cup,UK,3.0,0
Mr. Lee's Noodles,Cup,UK,5.0,0
Mr. Lee's Noodles,Cup,UK,3.3,0
Nissin,Bowl,Japan,5.0,0
Fuku,Pack,Hong Kong,4.0,0
Knorr,Pack,Pakistan,3.0,0
Nyor Nyar,Pack,Malaysia,5.0,0
Choumama,Pack,Taiwan,4.0,0
Myojo,Bowl,Japan,4.75,0
Nissin,Cup,Hong Kong,4.0,0
Singa-Me,Cup,Australia,2.5,0
Pulmuone,Pack,South Korea,5.0,0
Master Kong,Pack,China,4.0,0
Nissin,Pack,Japan,5.0,0
President Rice,Bowl,Thailand,2.75,0
MAMA,Pack,Thailand,3.5,0
MAMA,Pack,Thailand,3.5,0
MAMA,Pack,Thailand,4.0,0
MAMA,Bowl,Thailand,3.0,0
MAMA,Pack,Thailand,5.0,0
MAMA,Pack,Thailand,4.0,0
MAMA,Pack,Thailand,4.0,0
MAMA,Pack,Thailand,5.0,0
MAMA,Pack,Thailand,4.0,0
MAMA,Cup,Thailand,5.0,0
MAMA,Pack,Thailand,4.0,0
MAMA,Pack,Thailand,4.0,0
MAMA,Pack,Thailand,4.0,0
Maruchan,Pack,USA,4.0,0
Happy Family,Pack,Singapore,4.0,0
Tseng Noodles,Pack,Taiwan,5.0,0
Great Value,Cup,Canada,3.0,0
JML,Pack,China,4.0,0
Suimin,Cup,Australia,3.0,0
Tseng Noodles,Pack,Taiwan,5.0,0
Nissin,Bowl,Japan,4.0,0
Tseng Noodles,Pack,Taiwan,5.0,0
Nongshim,Pack,South Korea,5.0,0
Menraku,Bowl,Japan,5.0,0
La Moderna,Pack,Mexico,3.0,0
A-Sha Dry Noodle,Tray,Taiwan,5.0,0
Master Kong,Pack,China,4.0,0
A-Sha Dry Noodle,Tray,Taiwan,2.0,0
Jingqi,Pack,Taiwan,4.0,0
Jingqi,Pack,Taiwan,4.0,0
Jingqi,Pack,Taiwan,4.0,0
Jingqi,Pack,Taiwan,5.0,0
Jingqi,Pack,Taiwan,5.0,0
Jingqi,Pack,Taiwan,3.0,0
Jingqi,Pack,Taiwan,5.0,0
Jingqi,Pack,Taiwan,5.0,0
Maruchan,Cup,USA,3.0,0
Sapporo Ichiban,Bowl,Japan,3.0,0
Dream Kitchen,Cup,USA,3.0,0
Nissin,Pack,Brazil,4.0,0
Thien Houng Foods,Pack,Vietnam,3.0,0
Maruchan,Bowl,USA,4.0,0
Nissin,Bowl,Japan,5.0,0
Wang,Bowl,South Korea,5.0,0
Fuku,Pack,Hong Kong,4.0,0
Fuku,Pack,Hong Kong,4.0,0
Nissin,Pack,Hong Kong,4.0,0
Nissin,Pack,Hong Kong,4.0,0
Doll,Pack,Hong Kong,2.0,0
Four Seas,Pack,Hong Kong,4.0,0
Nissin,Bowl,Japan,5.0,0
Maruchan,Cup,USA,5.0,0
Myojo,Pack,Singapore,4.0,0
Kang Shi Fu,Pack,Hong Kong,4.0,0
CarJEN,Pack,Malaysia,5.0,0
Sapporo Ichiban,Cup,Japan,4.0,0
Suimin,Cup,Australia,2.25,0
Nissin,Bowl,Japan,5.0,0
Happy Family,Pack,Singapore,4.0,0
7 Select,Bowl,Thailand,3.5,0
Nissin,Cup,Thailand,5.0,0
Nissin,Pack,Thailand,5.0,0
Nissin,Pack,Thailand,4.0,0
Nissin,Cup,Thailand,3.5,0
Nissin,Cup,Thailand,3.5,0
Nissin,Cup,Thailand,3.25,0
7 Select,Bowl,Thailand,4.0,0
Nissin,Pack,Thailand,4.0,0
Nissin,Cup,Thailand,4.0,0
Nissin,Pack,Thailand,3.5,0
Nissin,Cup,Thailand,4.0,0
Nissin,Pack,Thailand,4.0,0
Nissin,Cup,Hong Kong,3.75,0
Great Value,Pack,Canada,3.0,0
Oni Hot Pot,Pack,Taiwan,4.3,0
Weh Lih,Pack,Taiwan,1.0,0
Nissin,Pack,Brazil,4.5,0
Itomen,Pack,Japan,3.5,0
Maruchan,Pack,USA,3.0,0
Wang,Bowl,South Korea,4.0,0
Roland,Pack,USA,0.0,0
Nissin,Cup,Japan,5.0,0
Samyang Foods,Pack,South Korea,4.0,0
Myojo,Pack,Singapore,4.0,0
Sanpo,Bowl,Japan,4.0,0
Nongshim,Cup,USA,5.0,0
CarJEN,Pack,Malaysia,5.0,0
Maruchan,Bowl,Japan,4.0,0
Nissin,Pack,Singapore,5.0,0
Nongshim,Pack,South Korea,5.0,0
Oni Hot Pot,Pack,Taiwan,2.0,0
Doll,Pack,Hong Kong,4.0,0
MyKuali,Cup,Malaysia,5.0,0
Nissin,Pack,Hong Kong,5.0,0
Nissin,Cup,Hong Kong,5.0,0
Nissin,Bowl,Hong Kong,4.0,0
Nissin,Pack,Hong Kong,4.0,0
Nissin,Pack,Hong Kong,5.0,0
Fuku,Bowl,Hong Kong,5.0,0
Nissin,Pack,Hong Kong,5.0,0
Nissin,Pack,Hong Kong,5.0,0
Nissin,Cup,Hong Kong,4.0,0
Nissin,Cup,Hong Kong,4.0,0
Fuku,Pack,Hong Kong,4.0,0
Nissin,Cup,Hong Kong,5.0,0
Nissin,Cup,Hong Kong,4.0,0
Nissin,Cup,Hong Kong,5.0,0
Nissin,Bowl,Hong Kong,3.75,0
Mi Sedaap,Pack,Indonesia,4.5,0
Nissin,Cup,Mexico,3.5,0
Great Value,Pack,Canada,4.0,0
Maruchan,Bowl,USA,5.0,0
A-Sha Dry Noodle,Pack,Taiwan,5.0,0
Tokushima Seifun,Bowl,Japan,1.75,0
Doll,Pack,Hong Kong,3.75,0
Maggi,Pack,Australia,5.0,0
Samyang Foods,Pack,South Korea,4.5,0
Marutai,Pack,Japan,5.0,0
Four Seas,Pack,Hong Kong,3.0,0
Nongshim,Pack,USA,5.0,0
Mamee,Pack,Hong Kong,3.25,0
Ottogi,Pack,Mexico,3.75,0
Kamfen,Tray,Hong Kong,4.25,0
Nissin,Cup,Japan,5.0,0
Four Seas,Pack,Hong Kong,2.5,0
Zow Zow,Pack,Thailand,3.75,0
Nissin,Cup,Mexico,3.75,0
Koyo,Pack,USA,0.0,0
Nissin,Bowl,Japan,5.0,0
Suimin,Cup,Australia,3.25,0
Maruchan,Cup,USA,3.75,0
Indomie,Cup,Indonesia,3.5,0
Master Kong,Pack,China,3.5,0
MyKuali,Cup,Malaysia,5.0,0
Ottogi,Pack,Mexico,4.0,0
Acecook,Bowl,Japan,3.8,0
Oni Hot Pot,Pack,Taiwan,5.0,0
E-Zee,Pack,Malaysia,4.0,0
Great Value,Pack,Canada,3.5,0
Doll,Cup,Hong Kong,3.0,0
ORee Garden,Bowl,Malaysia,5.0,0
Suimin,Cup,Australia,4.3,0
Master Kong,Pack,China,4.5,0
Nissin,Cup,Brazil,5.0,0
Tokushima Seifun,Bowl,Japan,5.0,0
A1,Pack,Malaysia,1.5,0
Migawon,Pack,South Korea,3.5,0
A-Sha Dry Noodle,Pack,Taiwan,4.25,0
Acecook,Cup,Japan,3.5,0
Fantastic,Cup,Australia,3.25,0
Chaudhary's Wai Wai,Pack,India,2.5,0
Kamfen,Bowl,Hong Kong,3.75,0
CarJEN,Pack,Malaysia,5.0,0
Myojo,Pack,Japan,3.75,0
Singa-Me,Cup,Australia,2.0,0
Maruchan,Pack,Mexico,3.5,0
Nissin,Bowl,Japan,5.0,0
MyKuali,Cup,Malaysia,4.75,0
Urban Noodle,Cup,UK,2.0,0
Urban Noodle,Cup,UK,2.5,0
Urban Noodle,Cup,UK,0.0,0
Urban Noodle,Cup,UK,3.0,0
Urban Noodle,Cup,UK,5.0,0
Kang Shi Fu,Pack,China,3.5,0
Acecook,Cup,Japan,3.75,0
Pulmuone,Pack,South Korea,4.0,0
Samyang Foods,Bowl,South Korea,0.0,0
Great Value,Cup,Canada,3.5,0
E-Zee,Pack,Malaysia,5.0,0
Oni Hot Pot,Pack,Taiwan,4.5,0
Great Value,Pack,Canada,3.5,0
MAMA,Pack,Thailand,2.0,0
Trident,Pack,Australia,2.0,0
MAMA,Pack,Myanmar,3.75,0
Conimex,Cup,Netherlands,3.0,0
Sichuan Baijia,Bowl,China,3.5,0
Nongshim,Pack,United States,3.75,0
Kamfen,Bowl,Hong Kong,3.75,0
A-Sha Dry Noodle,Pack,Taiwan,4.5,0
Nissin,Bowl,Japan,3.75,0
Nissin,Bowl,Japan,5.0,0
Nissin,Cup,Japan,3.8,0
Nissin,Cup,Japan,4.0,0
Nissin,Bowl,Japan,5.0,0
Nissin,Cup,Japan,5.0,0
Nissin,Bowl,Japan,5.0,0
Nissin,Cup,Japan,4.3,0
Nissin,Cup,Japan,4.0,0
Nissin,Cup,Japan,5.0,0
Nissin,Bowl,Japan,5.0,0
Nissin,Pack,Japan,5.0,0
Nissin,Cup,Japan,4.5,0
Nissin,Cup,Japan,5.0,0
Nissin,Cup,Japan,5.0,0
MyKuali,Pack,Malaysia,5.0,0
MAMA,Pack,Myanmar,3.5,0
Nissin,Bowl,Japan,4.5,0
A-Sha Dry Noodle,Pack,Taiwan,4.25,0
Prima Taste,Pack,Singapore,5.0,0
Nissin,Cup,Hong Kong,5.0,0
Tokushima Seifun,Pack,Japan,4.0,0
Master Kong,Pack,China,4.0,0
MyKuali,Pack,Malaysia,5.0,0
Suimin,Cup,Australia,3.5,0
Nissin,Cup,Japan,3.0,0
CarJEN,Pack,Malaysia,5.0,0
MyOri,Pack,Malaysia,5.0,0
Itsuki,Pack,Japan,4.25,0
Nissin,Pack,Germany,3.25,0
Samyang Foods,Pack,South Korea,5.0,0
Nissin,Pack,Brazil,4.25,0
Doll,Pack,Hong Kong,2.75,0
Fujiwara,Pack,Japan,3.5,0
MyOri,Pack,Malaysia,5.0,0
Nongshim,Pack,USA,4.75,0
Nissin,Pack,USA,3.5,0
Tokushima Seifun,Pack,Japan,4.5,0
Wei Lih,Pack,Taiwan,3.75,0
MyKuali,Pack,Malaysia,5.0,0
MAMA,Pack,Myanmar,5.0,10
Kabuto Noodles,Cup,UK,3.75,0
Kabuto Noodles,Cup,UK,3.5,0
Kabuto Noodles,Cup,UK,4.25,0
Kabuto Noodles,Cup,UK,4.0,0
Myojo,Pack,Japan,4.0,0
IbuRamen,Tray,USA,4.0,0
MAMA,Cup,Thailand,4.0,0
Maruchan,Cup,Japan,0.0,0
Nissin,Pack,USA,4.75,0
Koh Thai,Pack,Netherlands,2.0,0
Prima Taste,Pack,Singapore,5.0,0
Ve Wong,Pack,Taiwan,3.75,0
Nissin,Cup,USA,4.25,0
Fujiwara,Pack,Japan,4.0,0
Bamee,Pack,Thailand,3.5,0
Sichuan Baijia,Pack,China,1.5,0
Prima Taste,Pack,Singapore,5.0,1
Nissin,Pack,Japan,4.75,0
MAMA,Pack,Bangladesh,3.5,0
Wei Lih,Pack,Taiwan,5.0,0
New Touch,Bowl,Japan,5.0,0
Ibumie,Pack,Malaysia,3.5,0
Unox,Pack,Netherlands,2.5,0
Nissin,Cup,Japan,5.0,0
MAMA,Pack,Myanmar,5.0,0
Nissin,Bowl,Japan,5.0,0
MAMA,Cup,Myanmar,3.75,0
Fortune,Pack,USA,1.0,0
Love Cook,Pack,Taiwan,3.75,0
Love Cook,Pack,Taiwan,5.0,0
Love Cook,Pack,Taiwan,4.5,0
Love Cook,Pack,Taiwan,3.75,0
Bonasia,Pack,Hungary,3.75,0
Koh Thai,Pack,Netherlands,0.25,0
MAMA,Pack,Cambodia,3.5,0
Bamee,Pack,Thailand,3.0,0
Marutai,Bowl,Japan,3.5,0
Nissin,Bowl,USA,4.0,0
Prima,Pack,Singapore,5.0,8
Sichuan Baijia,Pack,China,3.5,0
Conimex,Cup,Netherlands,0.5,0
Mie Sedaap,Cup,Indonesia,1.5,0
Nissin,Cup,USA,3.5,0
Itsuki,Pack,Japan,0.75,0
