Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
fdv38,19.25,low fat,0.17034855100000001,dairy,55.7956,out010,1998,medium,tier 3,grocery store,163.7868
ncs17,18.6,low fat,0.080829372,health and hygiene,96.4436,out018,2009,medium,tier 3,supermarket type2,2741.7644
fdp33,18.7,low fat,0.0,snack foods,256.6672,out018,2009,medium,tier 3,supermarket type2,3068.0064
fdo23,17.85,low fat,0.0,breads,93.1436,out045,2002,medium,tier 2,supermarket type1,2174.5028
drh01,17.5,low fat,0.097904029,soft drinks,174.8738,out046,1997,small,tier 1,supermarket type1,2085.2856
ncx29,10.0,low fat,0.08929113699999999,health and hygiene,146.7102,out049,1999,medium,tier 1,supermarket type1,3791.0652
fdv20,12.857645184135976,regular,0.059511812000000004,fruits and vegetables,128.0678,out027,1985,medium,tier 3,supermarket type3,2797.6916
drz11,8.85,regular,0.113123893,soft drinks,122.5388,out018,2009,medium,tier 3,supermarket type2,1609.9044
fdx10,12.857645184135976,regular,0.12311145300000001,snack foods,36.9874,out027,1985,medium,tier 3,supermarket type3,388.1614
fdb34,12.857645184135976,low fat,0.026480953999999998,snack foods,87.6198,out027,1985,medium,tier 3,supermarket type3,2180.495
fdu02,13.35,low fat,0.102511504,dairy,230.6352,out046,1997,small,tier 1,supermarket type1,3435.528
fdk43,9.8,low fat,0.02681843,meat,126.00200000000001,out013,1987,high,tier 3,supermarket type1,2150.534
fda46,13.6,low fat,0.117818348,snack foods,192.9136,out049,1999,medium,tier 1,supermarket type1,2527.3768
fdc02,21.35,low fat,0.06910283099999999,canned,259.9278,out018,2009,medium,tier 3,supermarket type2,6768.5228
fdl50,12.15,regular,0.042277867000000004,canned,126.5046,out013,1987,high,tier 3,supermarket type1,373.5138
fdm39,6.42,lf,0.08949892599999999,dairy,178.1002,out010,1998,medium,tier 3,grocery store,358.2004
ncp05,19.6,low fat,0.0,health and hygiene,153.3024,out045,2002,medium,tier 2,supermarket type1,2428.8384
fdv49,10.0,low fat,0.025879577,canned,265.2226,out045,2002,medium,tier 2,supermarket type1,5815.0972
fdl12,15.85,regular,0.121632721,baking goods,60.622,out046,1997,small,tier 1,supermarket type1,2576.646
fds02,12.857645184135976,regular,0.25539489600000004,dairy,196.8794,out019,1985,small,tier 1,grocery store,780.3176
ncl17,7.39,low fat,0.067779712,health and hygiene,143.8812,out046,1997,small,tier 1,supermarket type1,3134.5864
fdm40,10.195,low fat,0.159803853,frozen foods,141.5154,out013,1987,high,tier 3,supermarket type1,850.8924
fdr13,9.895,regular,0.028696932,canned,117.0492,out013,1987,high,tier 3,supermarket type1,810.9444
fda43,10.895,low fat,0.065041581,fruits and vegetables,196.3794,out017,2007,medium,tier 2,supermarket type1,3121.2704
ncp18,12.15,low fat,0.028760012999999997,household,151.4708,out017,2007,medium,tier 2,supermarket type1,4815.0656
fdk21,7.905,low fat,0.010053105,snack foods,249.0408,out018,2009,medium,tier 3,supermarket type2,6258.52
ncx54,9.195,low fat,0.048157338,household,106.1622,out045,2002,medium,tier 2,supermarket type1,2117.244
drk35,8.365,low fat,0.071958197,hard drinks,38.0506,out049,1999,medium,tier 1,supermarket type1,796.9626
fdy21,15.1,low fat,0.17348130399999998,snack foods,194.511,out046,1997,small,tier 1,supermarket type1,4910.275
fdi26,12.857645184135976,low fat,0.061082177,canned,180.0344,out019,1985,small,tier 1,grocery store,892.172
fdm20,10.0,low fat,0.0,fruits and vegetables,246.9144,out018,2009,medium,tier 3,supermarket type2,3185.1872
fdv27,7.97,regular,0.040071131,meat,87.3514,out045,2002,medium,tier 2,supermarket type1,1062.6168
fdf09,12.857645184135976,low fat,0.012090074,fruits and vegetables,38.2848,out027,1985,medium,tier 3,supermarket type3,484.7024
fdy40,12.857645184135976,regular,0.15028599,frozen foods,51.0692,out019,1985,small,tier 1,grocery store,147.8076
fdy45,12.857645184135976,low fat,0.026015518999999997,snack foods,255.8356,out027,1985,medium,tier 3,supermarket type3,2543.356
fdc46,17.7,lf,0.195068226,snack foods,185.4266,out010,1998,medium,tier 3,grocery store,184.4266
fdh19,19.35,low fat,0.033082215,meat,172.5738,out035,2004,small,tier 2,supermarket type1,4865.6664
fdz03,13.65,regular,0.078946455,dairy,186.024,out045,2002,medium,tier 2,supermarket type1,1118.5439999999999
drh37,17.6,low fat,0.041700756,soft drinks,164.8526,out045,2002,medium,tier 2,supermarket type1,2302.3364
nci17,8.645,low fat,0.14342264300000002,health and hygiene,95.84100000000001,out046,1997,small,tier 1,supermarket type1,2027.361
fdj58,15.6,regular,0.10529607199999999,snack foods,170.1764,out046,1997,small,tier 1,supermarket type1,3435.528
fdl12,15.85,regular,0.121531501,baking goods,59.222,out013,1987,high,tier 3,supermarket type1,599.22
fdh35,18.25,low fat,0.0,starchy foods,164.7526,out045,2002,medium,tier 2,supermarket type1,4604.6728
fdg02,7.855,low fat,0.011324862,canned,189.6188,out017,2007,medium,tier 2,supermarket type1,2285.0256
ncz18,7.825,low fat,0.186357148,household,254.3698,out049,1999,medium,tier 1,supermarket type1,5580.7356
fdc29,8.39,regular,0.024205661,frozen foods,114.0176,out046,1997,small,tier 1,supermarket type1,2290.3520000000003
fdq10,12.85,low fat,0.033230816,snack foods,172.3422,out049,1999,medium,tier 1,supermarket type1,1207.0954
fdn48,12.857645184135976,low fat,0.113720344,baking goods,89.9804,out019,1985,small,tier 1,grocery store,643.1628
fdl04,19.0,low fat,0.11255650699999999,frozen foods,104.9622,out017,2007,medium,tier 2,supermarket type1,1587.933
fdv25,5.905,low fat,0.0,canned,222.5456,out045,2002,medium,tier 2,supermarket type1,5305.0944
fdd58,7.76,low fat,0.05935224099999999,snack foods,101.87,out046,1997,small,tier 1,supermarket type1,1697.79
fdn04,11.8,reg,0.014087057,frozen foods,180.3344,out046,1997,small,tier 1,supermarket type1,1427.4752
fdv45,16.75,low fat,0.045230944,snack foods,187.9556,out018,2009,medium,tier 3,supermarket type2,4693.89
ncl18,12.857645184135976,low fat,0.293417759,household,194.6136,out019,1985,small,tier 1,grocery store,583.2408
fdr12,12.857645184135976,regular,0.031382044,baking goods,171.3764,out027,1985,medium,tier 3,supermarket type3,3091.9752
fdg20,15.5,regular,0.12639886,fruits and vegetables,177.0028,out017,2007,medium,tier 2,supermarket type1,2479.4392
fdz55,6.055,low fat,0.025403897999999998,fruits and vegetables,160.99200000000002,out035,2004,small,tier 2,supermarket type1,2716.4640000000004
fdq49,12.857645184135976,regular,0.039057677,breakfast,155.963,out027,1985,medium,tier 3,supermarket type3,3285.723
fdn33,6.305,regular,0.123115764,snack foods,95.6436,out046,1997,small,tier 1,supermarket type1,661.8052
fdn27,20.85,low fat,0.039624006,meat,117.2808,out049,1999,medium,tier 1,supermarket type1,1523.3504
fdw20,20.75,low fat,0.040421193,fruits and vegetables,122.17299999999999,out010,1998,medium,tier 3,grocery store,369.519
drg27,8.895,low fat,0.10527411099999999,dairy,39.9138,out049,1999,medium,tier 1,supermarket type1,690.4346
dri25,19.6,low fat,0.033970195,soft drinks,55.1614,out045,2002,medium,tier 2,supermarket type1,1381.535
fda44,19.7,low fat,0.053212652,fruits and vegetables,57.893,out035,2004,small,tier 2,supermarket type1,622.523
ncr17,9.8,low fat,0.024378706,health and hygiene,114.5492,out035,2004,small,tier 2,supermarket type1,1274.3412
fdu04,12.857645184135976,low fat,0.009714595,frozen foods,120.0414,out019,1985,small,tier 1,grocery store,487.3656
fdf41,12.15,low fat,0.131383762,frozen foods,246.046,out049,1999,medium,tier 1,supermarket type1,1231.73
fdb56,8.75,regular,0.07461309,fruits and vegetables,187.4556,out035,2004,small,tier 2,supermarket type1,3755.112
ncp18,12.857645184135976,low fat,0.028459761,household,149.9708,out027,1985,medium,tier 3,supermarket type3,4363.6532
fdb56,8.75,regular,0.07462720099999999,fruits and vegetables,187.8556,out046,1997,small,tier 1,supermarket type1,1314.2892
fdt28,13.3,low fat,0.063695084,frozen foods,151.0708,out045,2002,medium,tier 2,supermarket type1,1805.6496
fdd10,12.857645184135976,regular,0.045797829000000005,snack foods,178.5344,out027,1985,medium,tier 3,supermarket type3,2854.9504
fdw57,8.31,regular,0.11585722300000001,snack foods,179.1028,out049,1999,medium,tier 1,supermarket type1,3896.2616
drb48,16.75,regular,0.024832806000000002,soft drinks,38.7822,out013,1987,high,tier 3,supermarket type1,667.7974
fdp09,19.75,low fat,0.034027909,snack foods,212.0902,out018,2009,medium,tier 3,supermarket type2,3185.853
fdh14,17.1,regular,0.046769599999999995,canned,141.1838,out013,1987,high,tier 3,supermarket type1,2247.7408
fda47,10.5,regular,0.11657670199999999,baking goods,163.121,out013,1987,high,tier 3,supermarket type1,1794.3310000000001
fdg12,6.635,regular,0.0,baking goods,121.3098,out045,2002,medium,tier 2,supermarket type1,2530.7058
dre60,12.857645184135976,low fat,0.278974075,soft drinks,225.372,out019,1985,small,tier 1,grocery store,679.1160000000001
drk49,14.15,low fat,0.035913805,soft drinks,41.4138,out013,1987,high,tier 3,supermarket type1,812.2760000000001
fdd03,13.3,low fat,0.079806266,dairy,232.53,out046,1997,small,tier 1,supermarket type1,699.09
fds52,8.89,low fat,0.005505481,frozen foods,102.4016,out017,2007,medium,tier 2,supermarket type1,2732.4432
fdw39,12.857645184135976,regular,0.064625342,meat,176.937,out019,1985,small,tier 1,grocery store,176.437
fdx34,12.857645184135976,low fat,0.071636937,snack foods,121.7098,out027,1985,medium,tier 3,supermarket type3,4097.3332
fdv11,9.1,regular,0.0,breads,173.2054,out045,2002,medium,tier 2,supermarket type1,3151.8972
fdd17,7.5,low fat,0.032677677999999995,frozen foods,239.0906,out049,1999,medium,tier 1,supermarket type1,5942.265
fdz16,16.85,regular,0.160760054,frozen foods,192.4478,out017,2007,medium,tier 2,supermarket type1,4843.695
fdz46,7.485,low fat,0.06911065,snack foods,109.0228,out035,2004,small,tier 2,supermarket type1,2542.0244
dra12,11.6,low fat,0.041177505,soft drinks,140.3154,out017,2007,medium,tier 2,supermarket type1,2552.6772
fdy58,11.65,low fat,0.040081193,snack foods,227.0694,out018,2009,medium,tier 3,supermarket type2,1141.847
ncf19,13.0,low fat,0.035307322,household,47.5034,out017,2007,medium,tier 2,supermarket type1,680.4476
drj13,12.65,lf,0.063017847,soft drinks,159.0578,out045,2002,medium,tier 2,supermarket type1,2085.9514
fdb14,20.25,regular,0.171938781,canned,92.512,out010,1998,medium,tier 3,grocery store,186.424
fdj38,8.6,regular,0.040197932,canned,190.153,out035,2004,small,tier 2,supermarket type1,3036.048
fdw11,12.6,low fat,0.049058014000000004,breads,62.7194,out017,2007,medium,tier 2,supermarket type1,866.8716
fdl40,17.7,low fat,0.01161096,frozen foods,95.041,out035,2004,small,tier 2,supermarket type1,868.8689999999999
dri49,14.15,low fat,0.183507295,soft drinks,82.4276,out046,1997,small,tier 1,supermarket type1,1137.1864
fdv38,19.25,low fat,0.102349519,dairy,52.7956,out017,2007,medium,tier 2,supermarket type1,928.1252
drg23,8.88,low fat,0.08670898699999999,hard drinks,151.7682,out013,1987,high,tier 3,supermarket type1,762.341
ncp30,20.5,low fat,0.032835147,household,40.2822,out045,2002,medium,tier 2,supermarket type1,707.0796
fdy25,12.857645184135976,low fat,0.033809913,canned,180.5976,out027,1985,medium,tier 3,supermarket type3,7968.2944
nch54,13.5,low fat,0.07266912,household,160.292,out046,1997,small,tier 1,supermarket type1,1438.128
ncr53,12.857645184135976,low fat,0.144338493,health and hygiene,224.4404,out027,1985,medium,tier 3,supermarket type3,6976.2524
fds52,8.89,low fat,0.009163216,frozen foods,101.7016,out010,1998,medium,tier 3,grocery store,101.2016
fdg02,7.855,low fat,0.011307038,canned,188.5188,out018,2009,medium,tier 3,supermarket type2,952.0939999999999
nco26,7.235,low fat,0.076855628,household,116.0492,out046,1997,small,tier 1,supermarket type1,1969.4364
fdh35,12.857645184135976,low fat,0.059956876,starchy foods,165.4526,out027,1985,medium,tier 3,supermarket type3,5262.4832
fdb51,6.92,low fat,0.038532062,dairy,60.5852,out045,2002,medium,tier 2,supermarket type1,1314.2892
fdx44,9.3,low fat,0.043209581,fruits and vegetables,90.8172,out017,2007,medium,tier 2,supermarket type1,535.3032
ncn07,18.5,low fat,0.056816465,others,132.1284,out010,1998,medium,tier 3,grocery store,263.6568
ncc31,8.02,low fat,0.019866705,household,154.5972,out035,2004,small,tier 2,supermarket type1,1402.1748
ncx54,9.195,low fat,0.048331717,household,105.1622,out017,2007,medium,tier 2,supermarket type1,1693.7952
nco55,12.8,low fat,0.091221855,others,105.5938,out045,2002,medium,tier 2,supermarket type1,2143.876
ncc30,16.6,low fat,0.027622076000000002,household,177.6344,out049,1999,medium,tier 1,supermarket type1,2676.5159999999996
fdi16,14.0,regular,0.0,frozen foods,53.06399999999999,out035,2004,small,tier 2,supermarket type1,905.488
fdp16,18.6,low fat,0.039355947,frozen foods,246.3802,out049,1999,medium,tier 1,supermarket type1,7370.406
fdb11,16.0,low fat,0.060836524,starchy foods,226.8404,out035,2004,small,tier 2,supermarket type1,6301.1312
ncb06,17.6,low fat,0.082316506,health and hygiene,160.692,out035,2004,small,tier 2,supermarket type1,1597.92
fda45,21.25,low fat,0.155350299,snack foods,178.237,out035,2004,small,tier 2,supermarket type1,529.311
nco26,7.235,low fat,0.076841095,household,117.5492,out035,2004,small,tier 2,supermarket type1,1969.4364
drj25,14.6,low fat,0.151419185,soft drinks,50.3692,out017,2007,medium,tier 2,supermarket type1,1034.6532
fdr28,13.85,reg,0.026001976,frozen foods,161.52100000000002,out018,2009,medium,tier 3,supermarket type2,1794.3310000000001
fdi04,13.65,regular,0.073209447,frozen foods,197.6426,out018,2009,medium,tier 3,supermarket type2,2768.3964
drk12,12.857645184135976,low fat,0.041683481,soft drinks,31.29,out027,1985,medium,tier 3,supermarket type3,898.83
fdx20,7.365,low fat,0.042560252,fruits and vegetables,226.172,out046,1997,small,tier 1,supermarket type1,3169.208
nci18,18.35,low fat,0.014081156000000001,household,223.5746,out018,2009,medium,tier 3,supermarket type2,3589.9936
fdb36,5.465,regular,0.0,baking goods,132.5626,out018,2009,medium,tier 3,supermarket type2,262.3252
fdn13,18.6,low fat,0.152918384,breakfast,99.8358,out017,2007,medium,tier 2,supermarket type1,1910.1802
drd24,13.85,low fat,0.030969273999999998,soft drinks,140.9154,out017,2007,medium,tier 2,supermarket type1,1701.7848
fdq28,14.0,regular,0.06037677599999999,frozen foods,154.5656,out013,1987,high,tier 3,supermarket type1,2471.4496
fdm22,14.0,regular,0.04192285,snack foods,54.763999999999996,out013,1987,high,tier 3,supermarket type1,1331.6
fdr07,12.857645184135976,low fat,0.077367431,fruits and vegetables,97.0094,out027,1985,medium,tier 3,supermarket type3,1808.9786
fdv25,5.905,low fat,0.045838211,canned,222.5456,out018,2009,medium,tier 3,supermarket type2,3315.684
drf49,7.27,low fat,0.071077939,soft drinks,114.2518,out046,1997,small,tier 1,supermarket type1,2618.5914
fdw51,6.155,regular,0.09465987099999999,meat,214.55599999999998,out046,1997,small,tier 1,supermarket type1,2769.728
drl01,19.5,regular,0.077608838,soft drinks,233.4958,out017,2007,medium,tier 2,supermarket type1,5375.0034
fdp25,15.2,low fat,0.021327477,canned,216.8824,out017,2007,medium,tier 2,supermarket type1,2838.9712
fdl50,12.15,regular,0.042485444000000004,canned,125.0046,out018,2009,medium,tier 3,supermarket type2,1743.0644
ncb30,12.857645184135976,low fat,0.025578526,household,198.8084,out027,1985,medium,tier 3,supermarket type3,5555.4352
fdw11,12.6,low fat,0.048980800000000005,breads,61.9194,out018,2009,medium,tier 3,supermarket type2,619.194
ncm43,14.5,low fat,0.019471688,others,164.821,out035,2004,small,tier 2,supermarket type1,2120.573
fdk44,16.6,low fat,0.122918852,fruits and vegetables,173.0738,out017,2007,medium,tier 2,supermarket type1,3823.0236
fdm15,11.8,regular,0.057373797000000004,meat,151.4366,out013,1987,high,tier 3,supermarket type1,1360.2294
fds31,13.1,regular,0.044155597000000005,fruits and vegetables,178.8318,out013,1987,high,tier 3,supermarket type1,3969.4996
fdi32,17.7,low fat,0.291865402,fruits and vegetables,115.1834,out010,1998,medium,tier 3,grocery store,345.5502
fdr47,17.85,lf,0.0,breads,196.5794,out010,1998,medium,tier 3,grocery store,585.2382
fdb35,12.3,regular,0.064750025,starchy foods,92.6804,out045,2002,medium,tier 2,supermarket type1,1010.6844
ncu05,11.8,low fat,0.098312421,health and hygiene,81.4618,out010,1998,medium,tier 3,grocery store,161.1236
dry23,12.857645184135976,regular,0.191013663,soft drinks,42.1112,out019,1985,small,tier 1,grocery store,42.6112
fdo24,11.1,low fat,0.176573035,baking goods,157.4604,out045,2002,medium,tier 2,supermarket type1,3010.7476
fdq28,12.857645184135976,regular,0.060134441,frozen foods,153.0656,out027,1985,medium,tier 3,supermarket type3,6024.1584
fdv39,11.3,low fat,0.0072946519999999996,meat,198.1426,out045,2002,medium,tier 2,supermarket type1,988.7130000000001
nco17,12.857645184135976,low fat,0.128478462,health and hygiene,117.944,out019,1985,small,tier 1,grocery store,239.688
fdu50,5.75,regular,0.075107656,dairy,112.8176,out013,1987,high,tier 3,supermarket type1,1374.2112
fdt12,12.857645184135976,regular,0.049381405999999996,baking goods,226.8062,out027,1985,medium,tier 3,supermarket type3,4739.8302
fdk58,11.35,regular,0.045165795999999994,snack foods,100.0016,out018,2009,medium,tier 3,supermarket type2,1012.0160000000001
fdo08,12.857645184135976,regular,0.09415375,fruits and vegetables,165.7526,out019,1985,small,tier 1,grocery store,657.8104
ncw29,14.0,low fat,0.028907832,health and hygiene,130.431,out049,1999,medium,tier 1,supermarket type1,778.9860000000001
fde04,19.75,regular,0.018059621,frozen foods,179.766,out045,2002,medium,tier 2,supermarket type1,2336.958
ncb19,6.525,low fat,0.09043609400000001,household,85.0882,out049,1999,medium,tier 1,supermarket type1,2233.0932
fdv15,10.3,low fat,0.146399712,meat,103.9648,out049,1999,medium,tier 1,supermarket type1,1661.8368
fdl58,5.78,regular,0.07426435599999999,snack foods,264.7568,out049,1999,medium,tier 1,supermarket type1,4745.8224
fda08,11.85,regular,0.050186725999999994,fruits and vegetables,164.1526,out045,2002,medium,tier 2,supermarket type1,3124.5994
fdt43,16.35,low fat,0.020631654,fruits and vegetables,50.1324,out018,2009,medium,tier 3,supermarket type2,467.3916
ncx06,12.857645184135976,low fat,0.01561108,household,182.5976,out027,1985,medium,tier 3,supermarket type3,5070.7328
fdt20,10.5,low fat,0.041395445,fruits and vegetables,37.6164,out046,1997,small,tier 1,supermarket type1,540.6296
fdb41,19.0,regular,0.097313129,frozen foods,48.0718,out046,1997,small,tier 1,supermarket type1,992.7078
ncn55,14.6,low fat,0.059582996,others,238.8538,out049,1999,medium,tier 1,supermarket type1,6008.845
fde40,12.857645184135976,regular,0.09866365199999999,dairy,62.9194,out027,1985,medium,tier 3,supermarket type3,2105.2596
fdx49,12.857645184135976,reg,0.101338651,canned,232.63,out027,1985,medium,tier 3,supermarket type3,5359.69
ncm53,18.75,low fat,0.052146455999999994,health and hygiene,104.62799999999999,out045,2002,medium,tier 2,supermarket type1,745.696
fde36,5.26,regular,0.041764487,baking goods,161.8868,out035,2004,small,tier 2,supermarket type1,3275.736
fdn57,18.25,low fat,0.054344185999999996,snack foods,140.2154,out045,2002,medium,tier 2,supermarket type1,1701.7848
fdi24,12.857645184135976,low fat,0.07836248400000001,baking goods,177.937,out027,1985,medium,tier 3,supermarket type3,6704.606
fdi19,15.1,low fat,0.052339069,meat,242.7512,out046,1997,small,tier 1,supermarket type1,4119.9704
fdf24,15.5,regular,0.042464962,baking goods,81.5934,out010,1998,medium,tier 3,grocery store,327.5736
fdg52,13.65,low fat,0.06573288299999999,frozen foods,45.7402,out049,1999,medium,tier 1,supermarket type1,780.9834
drf36,16.1,lf,0.023625114,soft drinks,189.3846,out045,2002,medium,tier 2,supermarket type1,3630.6074
fds45,12.857645184135976,regular,0.051643608,snack foods,107.3622,out019,1985,small,tier 1,grocery store,317.5866
fdx40,12.85,low fat,0.165694219,frozen foods,39.7164,out010,1998,medium,tier 3,grocery store,231.6984
drk12,9.5,lf,0.041878397000000005,soft drinks,32.99,out035,2004,small,tier 2,supermarket type1,133.16
drc27,13.8,low fat,0.058091482,dairy,245.1802,out035,2004,small,tier 2,supermarket type1,5650.6446
fdl58,5.78,regular,0.0,snack foods,263.7568,out017,2007,medium,tier 2,supermarket type1,2636.5679999999998
ncd30,19.7,low fat,0.026903714,household,96.0726,out045,2002,medium,tier 2,supermarket type1,1272.3438
ncz54,14.65,low fat,0.0,household,161.5552,out010,1998,medium,tier 3,grocery store,324.9104
fde10,6.67,regular,0.150554711,snack foods,130.0626,out010,1998,medium,tier 3,grocery store,131.1626
fdr44,6.11,regular,0.0,fruits and vegetables,131.2968,out010,1998,medium,tier 3,grocery store,260.9936
fdp28,13.65,regular,0.13497562800000001,frozen foods,260.0936,out010,1998,medium,tier 3,grocery store,260.9936
fdx15,17.2,low fat,0.15616879,meat,160.6578,out013,1987,high,tier 3,supermarket type1,3690.5294
fda39,6.32,lf,0.0,meat,40.2822,out035,2004,small,tier 2,supermarket type1,1139.1838
fdy24,4.88,regular,0.133700752,baking goods,52.9298,out049,1999,medium,tier 1,supermarket type1,1995.4026
fdc60,5.425,regular,0.115119905,baking goods,88.3514,out017,2007,medium,tier 2,supermarket type1,1416.8224
fdh28,15.85,regular,0.11003099699999999,frozen foods,37.2506,out046,1997,small,tier 1,supermarket type1,265.6542
fdt25,7.5,low fat,0.051038045,canned,121.7072,out017,2007,medium,tier 2,supermarket type1,3552.7088
drj13,12.65,low fat,0.062837968,soft drinks,161.5578,out013,1987,high,tier 3,supermarket type1,2406.867
nco07,12.857645184135976,low fat,0.017116983,others,211.956,out019,1985,small,tier 1,grocery store,213.05599999999998
fdw20,20.75,low fat,0.024129332000000003,fruits and vegetables,124.17299999999999,out013,1987,high,tier 3,supermarket type1,2956.152
drf27,12.857645184135976,low fat,0.049754975,dairy,152.134,out019,1985,small,tier 1,grocery store,153.134
fds49,9.0,low fat,0.0,canned,79.7644,out035,2004,small,tier 2,supermarket type1,1649.8524
fdx25,12.857645184135976,low fat,0.101561568,canned,181.9292,out027,1985,medium,tier 3,supermarket type3,3101.2964
ncx42,12.857645184135976,low fat,0.0059496440000000005,household,165.6526,out027,1985,medium,tier 3,supermarket type3,4769.1254
fdg33,12.857645184135976,regular,0.13956116,seafood,170.4764,out027,1985,medium,tier 3,supermarket type3,3435.528
fdl56,14.1,low fat,0.126035694,fruits and vegetables,86.4198,out045,2002,medium,tier 2,supermarket type1,1133.8574
fdf14,7.55,low fat,0.027164679,canned,152.334,out035,2004,small,tier 2,supermarket type1,2603.278
ncd06,13.0,low fat,0.099325278,household,45.406000000000006,out046,1997,small,tier 1,supermarket type1,605.878
drm47,12.857645184135976,low fat,0.04357366,hard drinks,192.8846,out027,1985,medium,tier 3,supermarket type3,2293.0152
fds46,12.857645184135976,regular,0.082741482,snack foods,118.7782,out019,1985,small,tier 1,grocery store,119.1782
fdb35,12.3,regular,0.064565202,starchy foods,92.9804,out013,1987,high,tier 3,supermarket type1,1929.4884
fdx21,12.857645184135976,lf,0.08455456900000001,snack foods,109.8912,out027,1985,medium,tier 3,supermarket type3,2074.6328
ncu05,12.857645184135976,low fat,0.058451805,health and hygiene,79.9618,out027,1985,medium,tier 3,supermarket type3,241.6854
ncr38,17.25,low fat,0.113748685,household,251.3724,out045,2002,medium,tier 2,supermarket type1,6795.1548
ncr18,15.85,low fat,0.020603511,household,42.7112,out017,2007,medium,tier 2,supermarket type1,639.168
ncu41,18.85,low fat,0.052044976,health and hygiene,192.1846,out035,2004,small,tier 2,supermarket type1,3248.4382
fdy56,16.35,regular,0.06276442900000001,fruits and vegetables,227.6062,out017,2007,medium,tier 2,supermarket type1,7222.5984
drj51,14.1,low fat,0.08797726199999999,dairy,229.0668,out035,2004,small,tier 2,supermarket type1,3225.1352
fdk21,7.905,low fat,0.010010425,snack foods,249.0408,out035,2004,small,tier 2,supermarket type1,3755.112
fdy25,12.0,low fat,0.033946163,canned,179.3976,out013,1987,high,tier 3,supermarket type1,3440.8544
